"","date","cityid","gps_retail_and_recreation","gps_grocery_and_pharmacy","gps_parks","gps_transit_stations","gps_workplaces","gps_residential","gps_away_from_home"
"58",2020-02-25,5,0.04,-0.00286,0.0386,0.0486,0.0114,0.00286,-0.00461
"59",2020-02-25,6,0.01,-0.0186,0.0343,-0.00143,0.0214,0,-0.00192
"60",2020-02-25,7,0.0243,-0.00857,0.0486,-0.00429,0.0329,-0.00571,0.00545
"61",2020-02-25,8,0.0271,-0.00571,0.0643,0.0243,-0.00286,0.00429,-0.0064
"62",2020-02-25,9,0.0243,-0.0129,0.361,0.0343,-0.0214,-0.00143,0.00281
"63",2020-02-25,10,0.02,0.00143,0.0329,0.0286,0.0314,-0.00571,0.00676
"64",2020-02-25,11,0.0186,0.04,-0.00857,-0.0229,0.0229,-0.00286,0.00501
"65",2020-02-25,12,-0.00714,-0.01,0.174,-0.0286,-0.01,0.00286,-0.000392
"66",2020-02-25,13,0.0557,0.0129,0.297,0.126,0.0143,0,0.00502
"67",2020-02-25,14,0.0386,0.00429,0.366,0.0243,0.03,0,0.00263
"68",2020-02-25,15,0.0386,0.00857,0.217,0.0271,0.02,-0.00286,0.00622
"69",2020-02-25,16,0.0257,-0.00286,0.0514,-0.01,0.0371,-0.00143,0.00229
"70",2020-02-25,17,0.00286,-0.0171,0.0586,0.0243,-0.00143,0.0143,-0.0119
"71",2020-02-25,18,0.0471,-0.00286,0.223,0.03,0.0214,-0.00143,0.00453
"72",2020-02-25,19,-0.00286,-0.0229,-0.0371,0.0186,0.0129,0.00429,-0.00386
"73",2020-02-25,20,-0.00571,0.0157,0.12,-0.0114,0.0157,0.00286,-0.00362
"74",2020-02-25,21,0.0229,0.00714,0.146,0.00143,0.0214,-0.00143,0.0014
"75",2020-02-25,22,0.0229,0.00286,-0.234,0.134,0.0229,-0.00429,0.00559
"76",2020-02-25,23,0.0529,0.00429,0.156,0.0171,0.0329,-0.00286,0.00563
"77",2020-02-25,24,0.0657,0.0129,0.31,0.0471,0.0214,-0.00857,0.0108
"78",2020-02-25,25,0.03,-0.00571,0.217,0.00429,-0.00143,0.00571,-0.00312
"79",2020-02-25,26,0.0214,0.00857,-0.00429,-0.00429,0.02,0,-0.00162
"80",2020-02-25,27,0.0243,0.0743,0.284,0.0286,0.0157,-0.00286,0.00622
"81",2020-02-25,28,-0.0243,0.00286,-0.13,0.02,0.0229,0.00571,-0.00766
"82",2020-02-25,29,0,-0.0386,0.134,0.0171,-0.00429,0.00571,-0.00352
"83",2020-02-25,30,0.0386,-0.00857,0.136,0.0614,0.0243,0,0.00296
"84",2020-02-25,31,0.0543,0.02,0.137,0.0229,0.0343,-0.00286,0.00804
"85",2020-02-25,32,0.0343,0.0443,-0.0286,0.00429,0.0171,0,-0.00234
"86",2020-02-25,33,0.0129,0.0414,0.06,0.00571,-0.0429,0.00714,-0.00753
"87",2020-02-25,34,0.0557,0.0129,0.204,0.02,0.0129,-0.00286,0.00429
"88",2020-02-25,35,0.0314,0.00857,0.29,0.0214,0.01,-0.00429,0.00681
"89",2020-02-25,36,0.01,-0.0271,0.0671,0.0143,0.00571,0.00429,-0.00269
"90",2020-02-25,37,0.0543,0.01,0.113,0.0357,0.0586,-0.01,0.0136
"91",2020-02-25,38,0.00857,0.00143,0.0357,-0.00571,0.02,0,-3.16e-08
"92",2020-02-25,39,-0.03,-0.0429,0.0286,0.0186,-0.0371,0.03,-0.0292
"93",2020-02-25,40,0.0643,0.0643,0.3,0.0371,0.0286,-0.00857,0.0137
"94",2020-02-25,41,0.01,0.0157,0.163,0.0286,0.0243,-0.00429,0.00681
"95",2020-02-25,42,0.0343,0.0157,0.0757,0.0757,0.0214,-0.00714,0.0114
"96",2020-02-25,43,0.0229,0.00857,0.07,0.0457,0.02,-0.00143,0.00322
"97",2020-02-25,44,0.461,0.433,0.591,1.15,-0.144,0.00286,0.00739
"98",2020-02-25,45,0.04,-0.00286,-0.04,0.00143,0.02,0.00143,-0.00169
"99",2020-02-25,46,0.0343,-0.0114,0.304,0.0571,0.0257,-0.00429,0.00832
"100",2020-02-25,47,0.0471,0.00429,0.246,0.04,0.0114,0,0.000402
"101",2020-02-25,48,0.01,-0.00286,0.0729,0.0114,0.0129,0.00143,-0.000234
"102",2020-02-25,49,0.0557,0.06,0.376,0.0486,0.0243,-0.00857,0.0113
"103",2020-02-25,50,0.0643,0.0857,0.19,0.04,0.0329,-0.00571,0.00738
"104",2020-02-25,51,0,-0.01,0.0486,-0.0129,0.00571,0.0143,-0.0125
"105",2020-02-25,52,-0.00571,-0.0143,-0.21,-0.01,0.0129,0.00714,-0.012
"106",2020-02-25,53,0.02,0.00571,-0.00143,0.0471,0.0186,0.00143,-0.00219
"107",2020-02-26,1,0.0157,0.00286,0.0714,0.00571,0.0243,-0.00429,0.00362
"108",2020-02-26,2,0.0174,-0.0207,0.12,-0.00765,0.000408,0.0053,-0.00255
"109",2020-02-26,3,0.0343,0.0243,0.263,0.0214,0.0214,-0.00571,0.0117
"110",2020-02-26,4,0.04,-0.00143,0.0243,0,0.0243,-0.00143,0.00253
"111",2020-02-26,5,0.0471,-2.66e-10,0.0371,0.0543,0.0129,0.00143,-0.00301
"112",2020-02-26,6,0.0143,-0.0143,0.0414,-7.98e-10,0.0243,-0.00143,-0.000322
"113",2020-02-26,7,0.04,0.00429,0.0771,0.00429,0.0329,-0.00857,0.00865
"114",2020-02-26,8,0.0386,0,0.0629,0.02,-0.00143,0.00286,-0.0048
"115",2020-02-26,9,0.0286,-0.0129,0.337,0.0329,-0.01,-0.00286,0.00441
"116",2020-02-26,10,0.0371,0.0129,0.0629,0.03,0.0329,-0.01,0.0116
"117",2020-02-26,11,0.0371,0.0486,0.0214,-0.0157,0.0229,-0.00714,0.00981
"118",2020-02-26,12,-0.00143,-0.00143,0.179,-0.0257,0.00429,0,0.00281
"119",2020-02-26,13,0.0414,-0.00286,0.264,0.123,-0.00714,0.00714,-0.00298
"120",2020-02-26,14,0.0514,0.0129,0.359,0.03,0.03,-0.00143,0.00423
"121",2020-02-26,15,0.0443,0.0143,0.19,0.0271,0.02,-0.00286,0.00622
"122",2020-02-26,16,0.0357,0.00286,0.0843,-0.00571,0.04,-0.00571,0.00708
"123",2020-02-26,17,0.0157,-0.0186,0.0814,0.0314,0,0.0114,-0.00867
"124",2020-02-26,18,0.0457,-0.00143,0.206,0.0257,0.0186,0,0.00293
"125",2020-02-26,19,0.00286,-0.0186,-0.0857,0.0157,0.0114,0.00571,-0.00546
"126",2020-02-26,20,0.01,0.0229,0.1,-0.00714,0.0157,0.00143,-0.00202
"127",2020-02-26,21,0.0314,0.0143,0.156,0.00429,0.0214,-0.00143,0.0014
"128",2020-02-26,22,0.04,0.01,-0.233,0.144,0.0243,-0.00714,0.00879
"129",2020-02-26,23,0.0571,0.00571,0.15,0.0171,0.0343,-0.00286,0.00563
"130",2020-02-26,24,0.0686,0.0186,0.306,0.0443,0.0229,-0.00857,0.0108
"131",2020-02-26,25,0.0329,-0.00286,0.226,0.0171,0.0114,0.00286,8.06e-05
"132",2020-02-26,26,0.0343,0.0143,-0.0257,0,0.02,0,-0.00162
"133",2020-02-26,27,0.0286,0.0929,0.234,0.0286,0.0157,-0.00286,0.00622
"134",2020-02-26,28,-0.00714,0.02,-0.0829,0.02,0.0257,0.00143,-0.00286
"135",2020-02-26,29,0.00714,-0.0386,0.114,0.03,0.00429,0.00429,-0.00192
"136",2020-02-26,30,0.0386,-0.00571,0.106,0.06,0.0229,0.00143,0.00136
"137",2020-02-26,31,0.0643,0.0229,0.144,0.0229,0.0343,-0.00286,0.00804
"138",2020-02-26,32,0.0486,0.0457,-0.0243,0.00857,0.0186,-0.00143,-0.000736
"139",2020-02-26,33,0.02,0.0443,0.0471,0.00286,-0.0414,0.00714,-0.00753
"140",2020-02-26,34,0.0686,0.02,0.213,0.02,0.0143,-0.00429,0.00589
"141",2020-02-26,35,0.0386,0.0114,0.299,0.0257,0.0143,-0.00571,0.00841
"142",2020-02-26,36,0.0171,-0.0257,0.0614,0.0157,0.00714,0.00286,-0.00109
"143",2020-02-26,37,0.0686,0.0171,0.114,0.0471,0.0586,-0.01,0.0136
"144",2020-02-26,38,0.01,-0.00143,0.00714,-0.00714,0.02,0,-3.16e-08
"145",2020-02-26,39,-0.0286,-0.0471,0.0786,0.0229,-0.0357,0.0271,-0.026
"146",2020-02-26,40,0.0814,0.0771,0.326,0.0457,0.0286,-0.0114,0.0169
"147",2020-02-26,41,0.0143,0.0186,0.171,0.0314,0.0271,-0.00571,0.00841
"148",2020-02-26,42,0.0429,0.0186,0.106,0.0786,0.0214,-0.00857,0.013
"149",2020-02-26,43,0.0271,0.00857,0.0286,0.0429,0.02,0,0.00162
"150",2020-02-26,44,0.473,0.443,0.589,1.08,-0.176,0.0129,-0.0038
"151",2020-02-26,45,0.05,0.00286,-0.0357,0.00571,0.02,0,-8.83e-05
"152",2020-02-26,46,0.0414,-0.00571,0.287,0.0586,0.0257,-0.00571,0.00992
"153",2020-02-26,47,0.0614,0.0114,0.249,0.0386,0.0114,-0.00143,0.002
"154",2020-02-26,48,0.0143,0.00571,0.0871,0.00714,0.0143,0,0.00137
"155",2020-02-26,49,0.0629,0.0671,0.409,0.0457,0.0243,-0.01,0.0129
"156",2020-02-26,50,0.0786,0.0929,0.206,0.0471,0.0329,-0.00714,0.00898
"157",2020-02-26,51,0.01,-0.00571,0.0614,-0.00571,0.00714,0.0129,-0.0109
"158",2020-02-26,52,0.0114,-0.00143,-0.173,-0.00429,0.0171,0.00286,-0.00724
"159",2020-02-26,53,0.03,0.00857,-0.0257,0.0529,0.0186,0.00143,-0.00219
"160",2020-02-27,1,0.0186,0.00571,0.0757,0.00714,0.0243,-0.00429,0.00362
"161",2020-02-27,2,0.0198,-0.0155,0.117,-0.00148,0.0167,0.00234,0.000434
"162",2020-02-27,3,0.04,0.0286,0.266,0.0229,0.0214,-0.00571,0.0117
"163",2020-02-27,4,0.0557,0.01,0.0829,0.0143,0.0271,-0.00714,0.00828
"164",2020-02-27,5,0.0529,0.00143,0.0371,0.0571,0.0129,0,-0.00157
"165",2020-02-27,6,0.0171,-0.0129,0.0429,0.00286,0.0286,-0.00286,0.00111
"166",2020-02-27,7,0.0529,0.0114,0.119,0.0157,0.0329,-0.0114,0.0115
"167",2020-02-27,8,0.0443,0.00429,0.0657,0.0214,-0.00143,0.00143,-0.00337
"168",2020-02-27,9,0.0357,-0.0129,0.343,0.04,0.00143,-0.00429,0.00585
"169",2020-02-27,10,0.0486,0.0214,0.113,0.0386,0.0343,-0.0129,0.0144
"170",2020-02-27,11,0.0557,0.0614,0.0814,-0.00429,0.0243,-0.0129,0.0156
"171",2020-02-27,12,0.00429,0.00857,0.187,-0.0214,0.0186,-0.00286,0.00568
"172",2020-02-27,13,0.0414,-0.00714,0.244,0.124,-0.0214,0.0129,-0.00873
"173",2020-02-27,14,0.06,0.0171,0.346,0.0314,0.0286,-0.00143,0.00423
"174",2020-02-27,15,0.0443,0.02,0.174,0.0257,0.0129,0,0.00335
"175",2020-02-27,16,0.0486,0.0129,0.147,0.00429,0.0443,-0.0114,0.0128
"176",2020-02-27,17,0.0471,-0.0114,0.146,0.0629,0.00857,-0.00143,0.00426
"177",2020-02-27,18,0.0557,0.00286,0.201,0.0243,0.0186,0,0.00293
"178",2020-02-27,19,0.0186,-0.00571,-0.0586,0.0243,0.0129,0.00286,-0.00259
"179",2020-02-27,20,0.0371,0.0357,0.141,0.0114,0.02,-0.00286,0.00229
"180",2020-02-27,21,0.0343,0.02,0.161,0.00857,0.0229,-0.00286,0.00283
"181",2020-02-27,22,0.0571,0.0186,-0.214,0.154,0.0257,-0.01,0.0117
"182",2020-02-27,23,0.06,0.00571,0.166,0.0143,0.0343,-0.00429,0.00706
